,p60,p61,p62,p63,p64,p65,p67
2050-01-01 00:00:00,-4697.670704254862,-1752.3253250738737,-474.79632989538277,13299.920139706564,4921.88046,6845.109609421431,9159.04806
2050-01-01 01:00:00,-4231.115675389837,-1700.4858471756263,-462.14028288680333,13218.952610532235,4831.99971,6654.7425832304025,8991.77834
2050-01-01 02:00:00,-3596.3577258728383,-1499.85721250169,-403.5924322275863,13212.249777561665,4727.7561700000015,6350.902304666569,8797.78257
2050-01-01 03:00:00,-2814.2809099707792,-1101.590697375194,-318.2436006718327,13363.574965371012,4666.55652,6061.1514936631,8683.90839
2050-01-01 04:00:00,-2101.1906143723313,-582.2853593588652,-152.90527051048764,13657.586717077378,4669.8595,5766.462439825198,8690.05948
2050-01-01 05:00:00,-1645.572132882518,-209.30773123211702,53.42098975575823,13981.229159614837,4749.61183,4749.965520626045,8838.488589999999
2050-01-01 06:00:00,-1531.917444725708,-93.52136032581552,151.48296164657359,14396.82366930574,4904.2696,4459.596006465435,9126.2819
2050-01-01 07:00:00,-1450.3759901399087,-192.46396949066775,164.7872360597014,14660.357577927374,5021.27815,5111.749680370547,9344.0023
2050-01-01 08:00:00,-854.1946507934621,-105.25469208652513,310.33182033919235,15287.182296239316,5168.842803937157,888.9552879687308,9429.153109603734
2050-01-01 09:00:00,-302.4047364102594,-176.8967673454236,250.69937309521538,15939.233858393209,5298.906151491615,-4740.232975127496,9414.576548956684
2050-01-01 10:00:00,-441.9848094329914,-614.7394411540174,93.43352288827748,15961.985440737079,5340.229575927506,-8282.451430368794,9331.655867231171
2050-01-01 11:00:00,-199.72117063183055,-390.52203536681657,249.07308578851575,16057.443911520086,5330.867631709508,-10176.37129633993,9226.903424618808
2050-01-01 12:00:00,-24.953776272885648,-120.189990309069,399.43298509340764,16054.53783981588,5300.2371969464875,-10791.612054667874,9139.820919861673
2050-01-01 13:00:00,4.865070819163918,58.842030633615764,480.5932827269173,15872.115421579485,5227.819315943384,-10331.040238332596,9023.559837036315
