,Plant Name,UniqueID_Final,ORIS Plant Code,Boiler/Generator/Committed Unit,Unit ID,CAMD Database UnitID,PlantType,Combustion Turbine/IC Engine,Region Name,State Name,State Code,County,County Code,FIPS5,Capacity (MW),Heat Rate (Btu/kWh),On Line Year,Retirement Year,Firing,Bottom,Cogen?,Modeled Fuels,Wet/DryScrubber,Scrubber_Online_Year,Scrubber Efficiency,NOx Comb Control,NOx Post-Comb Control,SCR_Online_Year,SNCR_Online_Year,PM Control,FlueGasConditioning_Flag,Mercury_Controls,ACI_Online_Year,Mercury_Controls Efficiency,SO2 Permit Rate (lbs/mmBtu),Mode 1 NOx Rate (lbs/mmBtu),Mode 2 NOx Rate (lbs/mmBtu),Mode 3 NOx Rate  (lbs/mmBtu),Mode 4 NOx Rate  (lbs/mmBtu),Hg EMF for BIT,Hg EMF for SUB,Hg EMF for LIG,HCL Removal,DSI Unit,DSI Online Year,CCS,CCS Removal,C2G,C2G Online Year,BART Affected Unit,FuelType,Plant Code_x,Latitude,Longitude,Plant Code_y,Nameplate Energy Capacity (MWh),Maximum Charge Rate (MW),Maximum Discharge Rate (MW),Technology,Efficiency,Minimum Energy Capacity (MWh),FuelPrice($/MMBtu),CO2EmRate(lb/MMBtu),geometry,index_right,OBJECTID,PCA_REG,Shape_Leng,Shape_Area,PCA_Code,RTO_Code,region,MinDownTime(hrs),RampRate(MW/hr),StartCost($),MinLoad(MWh),RandOpCostAdder($/MWh),FOM(2012$/MW/yr),VOM(2012$/MWh),OpCost($/MWh),RegOfferElig,RegOfferCost($/MW),FlexOfferElig,ContOfferElig,YearAddedCE,Retired,YearRetiredByCE,YearRetiredByAge,GAMS Symbol,DataSource,ATBTechnologyType,ThermalOrRenewableOrStorage,CAPEX(2012$/MW),NSPSCompliant,NOxEmRate(lb/MMBtu),SO2EmRate(lb/MMBtu),Lifetime(years),SO2 Scrubber,CoalType,ECAPEX(2012$/MWH),PlantCategory
34,Formosa Utility Venture Ltd,10554_G_TBG1,10554,G,TBG1,,Combined Cycle,,ERC_REST,Texas,48.0,Calhoun,57.0,48057.0,72.0,6487.0,1993.0,9999.0,,,Y,Natural Gas,,,,,,,,,,,,,,0.11484,0.11484,0.11484,0.11484,,,,,,,,,,,,Natural Gas,10554.0,28.6917,-96.5417,,,,,,,,3.419101677638398,117.0,POINT (-96.54170000000001 28.6917),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,p65,4.0,46.008,7350.466874166296,28.8,0.0,13170.0,3.5999999999999996,25.779712582840283,1,0.0,1,1,0,False,False,False,10554+TBG1,,,,,,,,,,,,
35,Formosa Utility Venture Ltd,10554_G_TBG2,10554,G,TBG2,,Combined Cycle,,ERC_REST,Texas,48.0,Calhoun,57.0,48057.0,72.0,6487.0,1993.0,9999.0,,,Y,Natural Gas,,,,,,,,,,,,,,0.0694,0.0694,0.0694,0.0694,,,,,,,,,,,,Natural Gas,10554.0,28.6917,-96.5417,,,,,,,,3.419101677638398,117.0,POINT (-96.54170000000001 28.6917),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,p65,4.0,46.008,7350.466874166296,28.8,0.0,13170.0,3.5999999999999996,25.779712582840283,1,0.0,1,1,0,False,False,False,10554+TBG2,,,,,,,,,,,,
36,Formosa Utility Venture Ltd,10554_G_TBG3,10554,G,TBG3,,Combined Cycle,,ERC_REST,Texas,48.0,Calhoun,57.0,48057.0,72.0,6487.0,1993.0,9999.0,,,Y,Natural Gas,,,,,,,,,,,,,,0.0694,0.0694,0.0694,0.0694,,,,,,,,,,,,Natural Gas,10554.0,28.6917,-96.5417,,,,,,,,3.419101677638398,117.0,POINT (-96.54170000000001 28.6917),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,p65,4.0,46.008,7350.466874166296,28.8,0.0,13170.0,3.5999999999999996,25.779712582840283,1,0.0,1,1,0,False,False,False,10554+TBG3,,,,,,,,,,,,
37,Formosa Utility Venture Ltd,10554_G_TBG4,10554,G,TBG4,,Combined Cycle,,ERC_REST,Texas,48.0,Calhoun,57.0,48057.0,72.0,6487.0,1994.0,9999.0,,,Y,Natural Gas,,,,,,,,,,,,,,0.0694,0.0694,0.0694,0.0694,,,,,,,,,,,,Natural Gas,10554.0,28.6917,-96.5417,,,,,,,,3.419101677638398,117.0,POINT (-96.54170000000001 28.6917),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,p65,4.0,46.008,7350.466874166296,28.8,0.0,13170.0,3.5999999999999996,25.779712582840283,1,0.0,1,1,0,False,False,False,10554+TBG4,,,,,,,,,,,,
38,Formosa Utility Venture Ltd,10554_G_TBG5,10554,G,TBG5,,Combined Cycle,,ERC_REST,Texas,48.0,Calhoun,57.0,48057.0,72.0,6487.0,1994.0,9999.0,,,Y,Natural Gas,,,,,,,,,,,,,,0.08253,0.08253,0.08253,0.08253,,,,,,,,,,,,Natural Gas,10554.0,28.6917,-96.5417,,,,,,,,3.419101677638398,117.0,POINT (-96.54170000000001 28.6917),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,p65,4.0,46.008,7350.466874166296,28.8,0.0,13170.0,3.5999999999999996,25.779712582840283,1,0.0,1,1,0,False,False,False,10554+TBG5,,,,,,,,,,,,
39,Formosa Utility Venture Ltd,10554_G_TBG6,10554,G,TBG6,,Combined Cycle,,ERC_REST,Texas,48.0,Calhoun,57.0,48057.0,72.0,6487.0,2003.0,9999.0,,,Y,Natural Gas,,,,,,,,,,,,,,0.08253,0.08253,0.08253,0.08253,,,,,,,,,,,,Natural Gas,10554.0,28.6917,-96.5417,,,,,,,,3.419101677638398,117.0,POINT (-96.54170000000001 28.6917),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,p65,4.0,46.008,7350.466874166296,28.8,0.0,13170.0,3.5999999999999996,25.779712582840283,1,0.0,1,1,0,False,False,False,10554+TBG6,,,,,,,,,,,,
40,Victoria Texas Plant,10790_G_GEN1,10790,G,GEN1,,Combustion Turbine,,ERC_REST,Texas,48.0,Victoria,469.0,48469.0,75.0,16297.0,1987.0,9999.0,,,Y,Natural Gas,,,,,,,,,,,,,,0.34622,0.34622,0.34622,0.34622,,,,,,,,,,,,Natural Gas,10790.0,28.675088,-96.956014,,,,,,,,3.419101677638398,117.0,POINT (-96.956014 28.675088),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,p65,2.0,25.650000000000002,1914.1840818141395,30.0,0.0,7340.0,15.45,71.17110004047296,0,0.0,1,1,0,True,False,2030,10790+GEN1,,,,,,,,,,,,
41,Nueces Bay,3441_G_7,3441,G,7,,Combined Cycle,,ERC_REST,Texas,48.0,Nueces,355.0,48355.0,319.0,7745.0,1972.0,9999.0,wall,,N,Natural Gas,,,,,SCR,,,,,,,,,0.01721,0.01721,0.01721,0.01721,,,,,,,,,,,,Natural Gas,3441.0,27.819412,-97.419203,,,,,,,,3.419101677638398,117.0,POINT (-97.419203 27.819412),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,p65,4.0,101.44200000000001,32566.65184526456,127.60000000000001,0.0,13170.0,3.5999999999999996,30.080942493309394,1,0.0,1,1,0,True,False,2030,3441+7,,,,,,,,,,,,
42,Nueces Bay,3441_G_8,3441,G,8,90242.0,Combined Cycle,,ERC_REST,Texas,48.0,Nueces,355.0,48355.0,157.0,7745.0,2010.0,9999.0,,,N,Natural Gas,,,,DLNB + H2O + NH3,SCR,2009.0,,,,,,,0.06,0.01721,0.01721,0.01721,0.01721,,,,,,,,,,,,Natural Gas,3441.0,27.819412,-97.419203,,,,,,,,3.419101677638398,117.0,POINT (-97.419203 27.819412),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,p65,4.0,49.926,16028.101378390395,62.800000000000004,0.0,13170.0,3.5999999999999996,30.080942493309394,1,0.0,1,1,0,False,False,False,3441+8,,,,,,,,,,,,
43,Nueces Bay,3441_G_9,3441,G,9,90243.0,Combined Cycle,,ERC_REST,Texas,48.0,Nueces,355.0,48355.0,157.0,7745.0,2010.0,9999.0,,,N,Natural Gas,,,,DLNB + H2O + NH3,SCR,2009.0,,,,,,,0.06,0.01721,0.01721,0.01721,0.01721,,,,,,,,,,,,Natural Gas,3441.0,27.819412,-97.419203,,,,,,,,3.419101677638398,117.0,POINT (-97.419203 27.819412),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,p65,4.0,49.926,16028.101378390395,62.800000000000004,0.0,13170.0,3.5999999999999996,30.080942493309394,1,0.0,1,1,0,False,False,False,3441+9,,,,,,,,,,,,
44,Victoria,3443_G_5,3443,G,5,,Combined Cycle,,ERC_REST,Texas,48.0,Victoria,469.0,48469.0,125.0,8063.0,1963.0,9999.0,,,N,Natural Gas,,,,AA + DLNB + NH3,SCR,2009.0,,,,,,,0.003,0.02024,0.02024,0.02024,0.02024,,,,,,,,,,,,Natural Gas,3443.0,28.7883,-97.01,,,,,,,,3.419101677638398,117.0,POINT (-97.01000000000001 28.7883),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,p65,4.0,39.75,12761.227212094263,50.0,0.0,13170.0,3.5999999999999996,31.1682168267984,1,0.0,1,1,0,True,False,2030,3443+5,,,,,,,,,,,,
45,Victoria,3443_G_7,3443,G,7,90094.0,Combined Cycle,,ERC_REST,Texas,48.0,Victoria,469.0,48469.0,160.0,8063.0,2009.0,9999.0,,,N,Natural Gas,,,,DLNB,SCR,,,,,,,,0.003,0.02024,0.02024,0.02024,0.02024,,,,,,,,,,,,Natural Gas,3443.0,28.7883,-97.01,,,,,,,,3.419101677638398,117.0,POINT (-97.01000000000001 28.7883),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,p65,4.0,50.88,16334.370831480657,64.0,0.0,13170.0,3.5999999999999996,31.1682168267984,1,0.0,1,1,0,False,False,False,3443+7,,,,,,,,,,,,
46,O W Sommers,3611_B_1,3611,B,1,2479.0,O/G Steam,,ERC_REST,Texas,48.0,Bexar,29.0,48029.0,420.0,12126.0,1972.0,9999.0,tangential,,N,Natural Gas,,,,FR + OFA,,,,,,,,,1.157,0.15448,0.15448,0.15448,0.15448,,,,,,,,,,,,Natural Gas,3611.0,29.308056,-98.3242,,,,,,,,3.419101677638398,117.0,POINT (-98.3242 29.308056),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,p65,7.0,97.02000000000001,42877.723432636725,168.0,0.0,37800.0,4.47,45.93002694304321,1,0.0,1,1,0,True,False,2030,3611+1,,,,,,,,,,,,
47,O W Sommers,3611_B_2,3611,B,2,2480.0,O/G Steam,,ERC_REST,Texas,48.0,Bexar,29.0,48029.0,410.0,12093.0,1974.0,9999.0,tangential,,N,Natural Gas,,,,FR + OFA,,,,,,,,,1.157,0.1023,0.1023,0.1023,0.1023,,,,,,,,,,,,Natural Gas,3611.0,29.308056,-98.3242,,,,,,,,3.419101677638398,117.0,POINT (-98.3242 29.308056),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,p65,7.0,94.71000000000001,41856.82525566919,164.0,0.0,37800.0,4.47,45.817196587681146,1,0.0,1,1,0,True,False,2030,3611+2,,,,,,,,,,,,
48,V H Braunig,3612_B_1,3612,B,1,2481.0,O/G Steam,,ERC_REST,Texas,48.0,Bexar,29.0,48029.0,220.0,11488.0,1966.0,9999.0,tangential,,N,Natural Gas,,,,,,,,,,,,,1.157,0.20761,0.20761,0.20761,0.20761,,,,,,,,,,,,Natural Gas,3612.0,29.2567,-98.3825,,,,,,,,3.419101677638398,117.0,POINT (-98.38249999999999 29.2567),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,p65,7.0,50.82,22459.759893285904,88.0,0.0,37800.0,4.47,43.74864007270992,1,0.0,1,1,0,True,False,2030,3612+1,,,,,,,,,,,,
49,V H Braunig,3612_B_2,3612,B,2,2482.0,O/G Steam,,ERC_REST,Texas,48.0,Bexar,29.0,48029.0,230.0,11619.0,1968.0,9999.0,tangential,,N,Natural Gas,,,,,,,,,,,,,1.157,0.19122,0.19122,0.19122,0.19122,,,,,,,,,,,,Natural Gas,3612.0,29.2567,-98.3825,,,,,,,,3.419101677638398,117.0,POINT (-98.38249999999999 29.2567),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,p65,7.0,53.13,23480.658070253445,92.0,0.0,37800.0,4.47,44.196542392480545,1,0.0,1,1,0,True,False,2030,3612+2,,,,,,,,,,,,
50,V H Braunig,3612_B_3,3612,B,3,2483.0,O/G Steam,,ERC_REST,Texas,48.0,Bexar,29.0,48029.0,412.0,11388.0,1970.0,9999.0,tangential,,N,Natural Gas,,,,FR + OFA,,,,,,,,,1.157,0.14314,0.14314,0.14314,0.14314,,,,,,,,,,,,Natural Gas,3612.0,29.2567,-98.3825,,,,,,,,3.419101677638398,117.0,POINT (-98.38249999999999 29.2567),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,p65,7.0,95.17200000000001,42061.004891062694,164.8,0.0,37800.0,4.47,43.40672990494607,1,0.0,1,1,0,True,False,2030,3612+3,,,,,,,,,,,,
51,Sam Rayburn,3631_G_10,3631,G,10,,Combined Cycle,,ERC_REST,Texas,48.0,Victoria,469.0,48469.0,37.0,9238.0,2003.0,9999.0,,,N,"Natural Gas, Distillate Fuel Oil",,,,H2O,SCR,,,,,,,,,0.02027,0.02027,0.02027,0.02027,,,,,,,,,,,,Natural Gas,3631.0,28.8947,-97.135,,,,,,,,3.419101677638398,117.0,POINT (-97.13500000000001 28.8947),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,p65,4.0,23.643,3777.323254779902,14.8,0.0,13170.0,3.5999999999999996,35.18566129802352,1,0.0,1,1,0,False,False,False,3631+10,,,,,,,,,,,,
52,Sam Rayburn,3631_G_7,3631,G,7,8334.0,Combined Cycle,,ERC_REST,Texas,48.0,Victoria,469.0,48469.0,49.0,9238.0,2003.0,9999.0,,,N,"Natural Gas, Distillate Fuel Oil",,,,H2O,SCR,,,,,,,,,0.02027,0.02027,0.02027,0.02027,,,,,,,,,,,,Natural Gas,3631.0,28.8947,-97.135,,,,,,,,3.419101677638398,117.0,POINT (-97.13500000000001 28.8947),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,p65,4.0,31.311,5002.401067140951,19.6,0.0,13170.0,3.5999999999999996,35.18566129802352,1,0.0,1,1,0,False,False,False,3631+7,,,,,,,,,,,,
53,Sam Rayburn,3631_G_8,3631,G,8,8336.0,Combined Cycle,,ERC_REST,Texas,48.0,Victoria,469.0,48469.0,49.0,9238.0,2003.0,9999.0,,,N,"Natural Gas, Distillate Fuel Oil",,,,H2O,SCR,,,,,,,,,0.02027,0.02027,0.02027,0.02027,,,,,,,,,,,,Natural Gas,3631.0,28.8947,-97.135,,,,,,,,3.419101677638398,117.0,POINT (-97.13500000000001 28.8947),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,p65,4.0,31.311,5002.401067140951,19.6,0.0,13170.0,3.5999999999999996,35.18566129802352,1,0.0,1,1,0,False,False,False,3631+8,,,,,,,,,,,,
54,Sam Rayburn,3631_G_9,3631,G,9,8338.0,Combined Cycle,,ERC_REST,Texas,48.0,Victoria,469.0,48469.0,48.0,9238.0,2003.0,9999.0,,,N,"Natural Gas, Distillate Fuel Oil",,,,H2O,SCR,,,,,,,,,0.02027,0.02027,0.02027,0.02027,,,,,,,,,,,,Natural Gas,3631.0,28.8947,-97.135,,,,,,,,3.419101677638398,117.0,POINT (-97.13500000000001 28.8947),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,p65,4.0,30.672,4900.3112494441975,19.200000000000003,0.0,13170.0,3.5999999999999996,35.18566129802352,1,0.0,1,1,0,False,False,False,3631+9,,,,,,,,,,,,
55,Barney M Davis,4939_B_1,4939,B,1,2658.0,O/G Steam,,ERC_REST,Texas,48.0,Nueces,355.0,48355.0,330.0,11750.0,1974.0,9999.0,tangential,,N,Natural Gas,,,,,,,,,,,,,1.157,0.16452,0.16452,0.16452,0.16452,,,,,,,,,,,,Natural Gas,4939.0,27.6064,-97.3117,,,,,,,,3.419101677638398,117.0,POINT (-97.3117 27.6064),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,p65,7.0,76.23,33689.63983992886,132.0,0.0,37800.0,4.47,44.64444471225118,1,0.0,1,1,0,True,False,2030,4939+1,,,,,,,,,,,,
56,Barney M Davis,4939_G_2,4939,G,2,,Combined Cycle,,ERC_REST,Texas,48.0,Nueces,355.0,48355.0,319.0,7736.0,1976.0,9999.0,tangential,,N,Natural Gas,,,,,SCR,,,,,,,,,0.0193,0.0193,0.0193,0.0193,,,,,,,,,,,,Natural Gas,4939.0,27.6064,-97.3117,,,,,,,,3.419101677638398,117.0,POINT (-97.3117 27.6064),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,p65,4.0,101.44200000000001,32566.65184526456,127.60000000000001,0.0,13170.0,3.5999999999999996,30.05017057821064,1,0.0,1,1,0,True,False,2040,4939+2,,,,,,,,,,,,
57,Barney M Davis,4939_G_3,4939,G,3,90244.0,Combined Cycle,,ERC_REST,Texas,48.0,Nueces,355.0,48355.0,157.0,7736.0,2010.0,9999.0,,,N,Natural Gas,,,,NH3,SCR,2009.0,,,,,,,0.06,0.0193,0.0193,0.0193,0.0193,,,,,,,,,,,,Natural Gas,4939.0,27.6064,-97.3117,,,,,,,,3.419101677638398,117.0,POINT (-97.3117 27.6064),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,p65,4.0,49.926,16028.101378390395,62.800000000000004,0.0,13170.0,3.5999999999999996,30.05017057821064,1,0.0,1,1,0,False,False,False,4939+3,,,,,,,,,,,,
58,Barney M Davis,4939_G_4,4939,G,4,90245.0,Combined Cycle,,ERC_REST,Texas,48.0,Nueces,355.0,48355.0,157.0,7736.0,2010.0,9999.0,,,N,Natural Gas,,,,NH3,SCR,2009.0,,,,,,,0.06,0.0193,0.0193,0.0193,0.0193,,,,,,,,,,,,Natural Gas,4939.0,27.6064,-97.3117,,,,,,,,3.419101677638398,117.0,POINT (-97.3117 27.6064),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,p65,4.0,49.926,16028.101378390395,62.800000000000004,0.0,13170.0,3.5999999999999996,30.05017057821064,1,0.0,1,1,0,False,False,False,4939+4,,,,,,,,,,,,
59,Newgulf Cogen,50137_G_GEN1,50137,G,GEN1,3640.0,Combustion Turbine,,ERC_REST,Texas,48.0,Wharton,481.0,48481.0,72.0,13440.0,1984.0,9999.0,,,N,Natural Gas,,,,,,,,,,,,,3.0,0.25759,0.25759,0.25759,0.25759,,,,,,,,,,,,Natural Gas,50137.0,29.2639,-95.8997,,,,,,,,3.419101677638398,117.0,POINT (-95.8997 29.2639),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,p65,2.0,24.624000000000002,1837.616718541574,28.8,0.0,7340.0,15.45,61.40272654746006,0,0.0,1,1,0,True,False,2030,50137+GEN1,,,,,,,,,,,,
60,Union Carbide Seadrift Cogen,50150_G_GE10,50150,G,GE10,,Combined Cycle,,ERC_REST,Texas,48.0,Calhoun,57.0,48057.0,15.0,9043.0,1964.0,9999.0,,,Y,Natural Gas,,,,,,,,,,,,,,0.17761,0.17761,0.17761,0.17761,,,,,,,,,,,,Natural Gas,50150.0,28.5105,-96.7706,,,,,,,,3.419101677638398,117.0,POINT (-96.7706 28.5105),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,p65,4.0,9.585,1531.3472654513116,6.0,0.0,13170.0,3.5999999999999996,34.51893647088403,1,0.0,1,1,0,True,False,2030,50150+GE10,,,,,,,,,,,,
61,Union Carbide Seadrift Cogen,50150_G_GE11,50150,G,GE11,,Combined Cycle,,ERC_REST,Texas,48.0,Calhoun,57.0,48057.0,30.0,9043.0,2000.0,9999.0,,,Y,Natural Gas,,,,,,,,,,,,,,0.17761,0.17761,0.17761,0.17761,,,,,,,,,,,,Natural Gas,50150.0,28.5105,-96.7706,,,,,,,,3.419101677638398,117.0,POINT (-96.7706 28.5105),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,p65,4.0,19.17,3062.6945309026232,12.0,0.0,13170.0,3.5999999999999996,34.51893647088403,1,0.0,1,1,0,False,False,False,50150+GE11,,,,,,,,,,,,
62,Union Carbide Seadrift Cogen,50150_G_GEN5,50150,G,GEN5,,Combined Cycle,,ERC_REST,Texas,48.0,Calhoun,57.0,48057.0,15.0,9043.0,1987.0,9999.0,,,Y,Natural Gas,,,,,,,,,,,,,,0.17761,0.17761,0.17761,0.17761,,,,,,,,,,,,Natural Gas,50150.0,28.5105,-96.7706,,,,,,,,3.419101677638398,117.0,POINT (-96.7706 28.5105),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,p65,4.0,9.585,1531.3472654513116,6.0,0.0,13170.0,3.5999999999999996,34.51893647088403,1,0.0,1,1,0,False,False,False,50150+GEN5,,,,,,,,,,,,
63,Union Carbide Seadrift Cogen,50150_G_GEN6,50150,G,GEN6,,Combined Cycle,,ERC_REST,Texas,48.0,Calhoun,57.0,48057.0,30.0,9043.0,1987.0,9999.0,,,Y,Natural Gas,,,,,,,,,,,,,,0.17761,0.17761,0.17761,0.17761,,,,,,,,,,,,Natural Gas,50150.0,28.5105,-96.7706,,,,,,,,3.419101677638398,117.0,POINT (-96.7706 28.5105),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,p65,4.0,19.17,3062.6945309026232,12.0,0.0,13170.0,3.5999999999999996,34.51893647088403,1,0.0,1,1,0,False,False,False,50150+GEN6,,,,,,,,,,,,
64,Union Carbide Seadrift Cogen,50150_G_GEN7,50150,G,GEN7,,Combined Cycle,,ERC_REST,Texas,48.0,Calhoun,57.0,48057.0,6.0,9043.0,1987.0,9999.0,,,Y,Natural Gas,,,,,,,,,,,,,,0.17761,0.17761,0.17761,0.17761,,,,,,,,,,,,Natural Gas,50150.0,28.5105,-96.7706,,,,,,,,3.419101677638398,117.0,POINT (-96.7706 28.5105),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,p65,4.0,3.834,612.5389061805247,2.4000000000000004,0.0,13170.0,3.5999999999999996,34.51893647088403,1,0.0,1,1,0,False,False,False,50150+GEN7,,,,,,,,,,,,
65,Union Carbide Seadrift Cogen,50150_G_GEN8,50150,G,GEN8,,Combined Cycle,,ERC_REST,Texas,48.0,Calhoun,57.0,48057.0,30.0,9043.0,1987.0,9999.0,,,Y,Natural Gas,,,,,,,,,,,,,,0.17761,0.17761,0.17761,0.17761,,,,,,,,,,,,Natural Gas,50150.0,28.5105,-96.7706,,,,,,,,3.419101677638398,117.0,POINT (-96.7706 28.5105),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,p65,4.0,19.17,3062.6945309026232,12.0,0.0,13170.0,3.5999999999999996,34.51893647088403,1,0.0,1,1,0,False,False,False,50150+GEN8,,,,,,,,,,,,
66,Union Carbide Seadrift Cogen,50150_G_GEN9,50150,G,GEN9,,Combined Cycle,,ERC_REST,Texas,48.0,Calhoun,57.0,48057.0,15.0,9043.0,1987.0,9999.0,,,Y,Natural Gas,,,,,,,,,,,,,,0.17761,0.17761,0.17761,0.17761,,,,,,,,,,,,Natural Gas,50150.0,28.5105,-96.7706,,,,,,,,3.419101677638398,117.0,POINT (-96.7706 28.5105),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,p65,4.0,9.585,1531.3472654513116,6.0,0.0,13170.0,3.5999999999999996,34.51893647088403,1,0.0,1,1,0,False,False,False,50150+GEN9,,,,,,,,,,,,
67,BP Chemicals Green Lake Plant,50404_G_TG2,50404,G,TG2,,Non-Fossil Waste,,ERC_REST,Texas,48.0,Calhoun,57.0,48057.0,15.0,11414.0,1989.0,9999.0,,,N,Non-Fossil Waste,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Non-Fossil Waste,50404.0,28.5707,-96.8333,,,,,,,,0.0,160.1,POINT (-96.83329999999999 28.5707),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,p65,4.0,15.0,1531.3472654513116,6.0,0.0,105630.0,5.26,5.26,0,0.0,1,1,0,True,False,2030,50404+TG2,,,,,,,,,,,,
68,BP Chemicals Green Lake Plant,50404_G_TG3,50404,G,TG3,,Non-Fossil Waste,,ERC_REST,Texas,48.0,Calhoun,57.0,48057.0,23.8,11414.0,1997.0,9999.0,,,N,Non-Fossil Waste,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Non-Fossil Waste,50404.0,28.5707,-96.8333,,,,,,,,0.0,160.1,POINT (-96.83329999999999 28.5707),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,p65,4.0,23.8,2429.7376611827476,9.520000000000001,0.0,105630.0,5.26,5.26,0,0.0,1,1,0,True,False,2040,50404+TG3,,,,,,,,,,,,
69,Rio Grande Valley Sugar Growers,54338_B_6,54338,B,6,,Biomass,,ERC_REST,Texas,48.0,Hidalgo,215.0,48215.0,3.5,17397.0,2009.0,9999.0,,,Y,Biomass,,,,,,,,ESPH + C + WS,No,,,,,0.25617,0.25617,0.25617,0.25617,,,,,,,,,,,,Biomass,54338.0,26.269683,-97.867012,,,,,,,,0.0,91.9,POINT (-97.867012 26.269683),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,p65,4.0,3.5,357.31436193863937,1.4000000000000001,0.0,105630.0,5.26,5.26,0,0.0,1,1,0,False,False,False,54338+6,,,,,,,,,,,,
70,Gregory Power Facility,55086_G_GT1A,55086,G,GT1A,3863.0,Combined Cycle,,ERC_REST,Texas,48.0,San Patricio,409.0,48409.0,141.0,5500.0,2000.0,9999.0,,,Y,Natural Gas,,,,DLNB,,,,,,,,,,0.03435,0.03435,0.03435,0.03435,,,,,,,,,,,,Natural Gas,55086.0,27.88929,-97.258417,,,,,,,,3.419101677638398,117.0,POINT (-97.25841699999999 27.88929),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,p65,4.0,44.838,14394.66429524233,56.400000000000006,0.0,13170.0,3.5999999999999996,22.405059227011186,1,0.0,1,1,0,False,False,False,55086+GT1A,,,,,,,,,,,,
71,Gregory Power Facility,55086_G_GT1B,55086,G,GT1B,3864.0,Combined Cycle,,ERC_REST,Texas,48.0,San Patricio,409.0,48409.0,140.0,5500.0,2000.0,9999.0,,,Y,Natural Gas,,,,DLNB,,,,,,,,,,0.03435,0.03435,0.03435,0.03435,,,,,,,,,,,,Natural Gas,55086.0,27.88929,-97.258417,,,,,,,,3.419101677638398,117.0,POINT (-97.25841699999999 27.88929),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,p65,4.0,44.52,14292.574477545575,56.0,0.0,13170.0,3.5999999999999996,22.405059227011186,1,0.0,1,1,0,False,False,False,55086+GT1B,,,,,,,,,,,,
72,Gregory Power Facility,55086_G_STG,55086,G,STG,,Combined Cycle,,ERC_REST,Texas,48.0,San Patricio,409.0,48409.0,85.0,5500.0,2000.0,9999.0,,,Y,Natural Gas,,,,DLNB,,,,,,,,,,0.03435,0.03435,0.03435,0.03435,,,,,,,,,,,,Natural Gas,55086.0,27.88929,-97.258417,,,,,,,,3.419101677638398,117.0,POINT (-97.25841699999999 27.88929),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,p65,4.0,54.315,8677.6345042241,34.0,0.0,13170.0,3.5999999999999996,22.405059227011186,1,0.0,1,1,0,False,False,False,55086+STG,,,,,,,,,,,,
